game_index,home_team,away_team,score_diff
82,San Francisco,TX Southern,13
83,Santa Clara,E Washington,12
84,South Florida,SE Missouri St,-3
85,UC San Diego,Seattle,-14
86,Holy Cross,Siena,-7
87,SMU,TX A&M Commerce,17
88,St Bonaventure,St Francis PA,13
89,St John's,Merrimack,25
90,St Louis,Murray St,23
91,St Mary's CA,Oral Roberts,8
92,St Peter's,NJIT,14
93,Stanford,Pacific,10
94,Florida St,Stetson,-9
95,Syracuse,Lehigh,18
96,TCU,Ark Pine Bluff,1
97,Tennessee,Tennessee Tech,32
98,Texas,UTEP,15
99,Texas A&M,ULM,33
100,Texas Tech,Northwestern LA,24
101,Toledo,Valparaiso,15
102,Towson,SUNY Albany,5
103,Tulane,UMBC,22
104,UAB,Alabama St,41
105,California,UC Davis,-10
106,UCLA,CS Sacramento,26
107,UCF,UNC Asheville,-3
108,UNLV,Southern Univ,10
109,Utah,LIU Brooklyn,41
110,Utah St,Utah Valley,17
111,VCU,Manhattan,17
112,Vermont,Brown,15
113,Villanova,La Salle,13
114,Virginia,NC Central,12
115,Virginia Tech,Delaware St,38
116,Illinois St,W Illinois,-3
117,Temple,Wagner,-3
118,Wake Forest,Fairfield,12
119,Washington,Weber St,17
120,Washington St,Texas St,22
121,West Virginia,Mt St Mary's,18
122,Wichita St,Cent Arkansas,24
123,Wisconsin,South Dakota,26
124,Xavier,Morgan St,23
125,Canisius,Youngstown St,-11
126,Queens NC,Marshall,1
127,Duquesne,Montana,28
128,East Carolina,Mercer,2
129,Georgetown,Coppin St,10
130,Providence,Rider,1
131,Purdue,WI Milwaukee,31
132,Hartford,Sacred Heart,-7
133,San Jose St,Ga Southern,15
134,South Carolina,S Carolina St,3
135,Wright St,Davidson,-5
136,Drake,IUPUI,32
137,James Madison,Hampton,48
138,LSU,Missouri KC,11
139,Marist,American Univ,4
140,Portland,Florida A&M,37
141,Boise St,S Dakota St,-2
142,San Diego,FL Gulf Coast,6
143,Seton Hall,Monmouth NJ,27
144,South Dakota,Lipscomb,8
145,Youngstown St,TN Martin,18
146,Louisville,Bellarmine,-1
147,Appalachian St,NC Central,5
148,Arizona St,Northern Arizona,16
149,Cincinnati,Cleveland St,11
150,Citadel,Presbyterian,12
151,Brown,Colgate,-9
152,Creighton,North Dakota,35
153,E Illinois,Illinois St,-5
154,Indiana,Bethune-Cookman,52
155,Kansas,N Dakota St,23
156,Columbia,MA Lowell,-27
157,Marquette,C Michigan,24
158,Maryland,W Carolina,20
159,Nebraska,NE Omaha,14
160,Notre Dame,Radford,3
161,Ohio St,Charleston So,26
162,Penn St,Loyola MD,25
163,Stonehill,Quinnipiac,-7
164,Rutgers,Sacred Heart,38
165,Oklahoma St,S Illinois,-1
166,San Francisco,Cal Poly,12
167,Santa Clara,Ga Southern,16
168,SF Austin,Gardner Webb,15
169,St Mary's CA,Vermont,26
170,Texas,Houston Chr,51
171,Texas Tech,TX Southern,24
172,Massachusetts,Towson,-12
173,Loy Marymount,UC Riverside,-2
174,USC,Alabama St,38
175,Virginia Tech,Lehigh,26
176,E Kentucky,WKU,-6
177,Wyoming,Nicholls St,11
178,Alabama A&M,North Alabama,-8
179,Air Force,Delaware,4
180,Alabama,Liberty,36
181,Arizona,Southern Univ,17
182,Arkansas,Fordham,26
183,Auburn,South Florida,8
184,Baylor,Norfolk St,17
185,Boston College,Detroit,4
186,Oakland,Bowling Green,-5
187,Dartmouth,Bryant,-19
188,Colorado St,SE Louisiana,11
189,Connecticut,Boston Univ,29
190,Coppin St,Mt St Mary's,5
191,CS Fullerton,Pepperdine,3
192,Dayton,SMU,12
193,DePaul,W Illinois,12
194,Drexel,Old Dominion,12
195,Duke,SC Upstate,46
196,Florida,Kennesaw,10
197,Furman,Belmont,15
198,G Washington,Howard,10
199,George Mason,Longwood,14
200,Grambling,Colorado,9
201,Hawaii,MS Valley St,18
202,Hofstra,Iona,5
203,Illinois,Missouri KC,38
204,Iowa,NC A&T,41
205,California,Kansas St,-9
206,Kentucky,Duquesne,25
207,IL Chicago,Loyola-Chicago,-7
208,Miami FL,UNC Greensboro,14
209,Minnesota,St Francis NY,18
210,Mississippi,FL Atlantic,13
211,Missouri,Penn,7
212,N Colorado,TX A&M Commerce,3
213,Navy,Princeton,1
214,NC State,Campbell,6
215,New Hampshire,Fairfield,12
216,New Mexico,South Alabama,6
217,North Carolina,Col Charleston,16
218,Northwestern,N Illinois,17
219,Oklahoma,Ark Pine Bluff,8
220,Oregon St,Florida A&M,17
221,Portland,Portland St,7
222,Purdue,Austin Peay,19
223,Richmond,Northern Iowa,13
224,San Diego St,BYU,7
225,South Carolina,Clemson,2
226,Vanderbilt,Southern Miss,-12
227,TAM C. Christi,UT San Antonio,20
228,TCU,Lamar,11
229,Temple,Villanova,4
230,Texas A&M,Abilene Chr,19
231,Tulane,McNeese St,17
232,Oregon,UC Irvine,-13
233,UCF,Florida St,14
234,UCLA,Long Beach St,24
235,Utah,CS Bakersfield,28
236,Utah St,Bradley,22
237,Virginia,Monmouth NJ,47
238,Wake Forest,Georgia,10
239,Washington,North Florida,8
240,Pittsburgh,West Virginia,-25
241,Xavier,Montana,22
242,Cal Baptist,NJIT,16
243,St Thomas MN,Chicago St,22
244,Wichita St,Alcorn St,-9
245,Marist,Binghamton,-3
246,Boise St,Washington St,10
247,Bucknell,Niagara,18
248,Canisius,St Bonaventure,4
249,UC San Diego,CS Sacramento,-10
250,East Carolina,Presbyterian,20
251,Georgetown,WI Green Bay,34
252,Georgia St,Georgia Tech,-2
253,High Point,Wofford,11
254,Northwestern LA,Illinois St,-2
255,Indiana St,Ball St,12
256,PFW,SIUE,5
257,Buffalo,James Madison,-35
258,La Salle,Wagner,8
259,Loy Marymount,UC Davis,10
260,LSU,Arkansas St,9
261,Morehead St,Bellarmine,7
262,Nevada,Grand Canyon,13
263,Ohio,Cleveland St,11
264,Providence,Northeastern,24
265,Rutgers,MA Lowell,8
266,Seton Hall,St Peter's,36
267,Siena,SUNY Albany,13
268,St Francis PA,Hartford,24
269,St John's,Lafayette,15
270,St Louis,Evansville,18
271,Tennessee St,S Carolina St,19
272,Rhode Island,Texas St,-4
273,Tulsa,Jackson St,6
274,UNLV,Incarnate Word,25
275,Utah Valley,Northern Arizona,4
276,UTEP,New Mexico St,3
277,VCU,Morgan St,15
278,Winthrop,MTSU,8
279,Louisville,Wright St,-1
280,Utah Tech,CS Northridge,6
281,Army,Stonehill,-5
282,C Michigan,E Illinois,16
283,Cincinnati,E Kentucky,18
284,CS Fullerton,Vermont,9
285,Davidson,VMI,4
286,F Dickinson,Manhattan,3
287,George Mason,American Univ,17
288,Hawaii,E Washington,20
289,Iowa St,NC A&T,37
290,Loyola MD,Brown,5
291,Mississippi St,Ark Pine Bluff,33
292,Missouri,Lindenwood,29
293,Long Beach St,Montana St,-13
294,NE Omaha,Idaho,7
295,Notre Dame,Youngstown St,7
296,Oakland,Oklahoma St,-29
297,N Dakota St,Pacific,-5
298,Pepperdine,Alabama St,29
299,Central Conn,Quinnipiac,-2
300,Sacred Heart,Columbia,3
301,San Diego,NJIT,10
302,Wyoming,SE Louisiana,-4
303,Seattle,Portland St,12
304,St Mary's CA,North Texas,30
305,Penn,Towson,-6
306,TX Southern,Arizona St,1
307,Valparaiso,W Michigan,16
308,Virginia Tech,William & Mary,17
309,St Thomas MN,St Francis NY,36
310,Southern Indiana,S Illinois,18
311,Baylor,N Colorado,33
312,Cent Arkansas,Ark Little Rock,11
313,Charlotte,MD E Shore,33
314,Chicago St,IUPUI,10
315,Col Charleston,Richmond,2
316,Colorado St,Weber St,25
317,Coppin St,Navy,7
318,St Francis PA,Cornell,-3
319,Creighton,Holy Cross,29
320,Denver,CS Sacramento,-4
321,Minnesota,DePaul,-16
322,Drake,Wofford,8
323,Duquesne,S Carolina St,25
324,Florida,FL Atlantic,-2
325,Georgia,Miami OH,7
326,Hofstra,G Washington,5
327,Houston,Oral Roberts,38
328,IL Chicago,Jacksonville St,7
329,Illinois,Monmouth NJ,38
330,Kent,Portland,12
331,Liberty,NC Central,16
332,Lipscomb,Belmont,2
333,Boston College,Maine,-5
334,Marshall,Tennessee Tech,26
335,TCU,Northwestern LA,-1
336,Penn St,Butler,6
337,UMBC,Princeton,-30
338,St Joseph's PA,Lafayette,4
339,South Florida,Stetson,-1
340,Tennessee St,Alabama A&M,11
341,Texas Tech,Louisiana Tech,9
342,Florida St,Troy,-7
343,UCF,W Illinois,33
344,UCLA,Norfolk St,30
345,Utah,Idaho St,12
346,Utah St,Santa Clara,22
347,Villanova,Delaware St,10
348,Washington,Utah Tech,11
349,Hawaii,Yale,-3
350,Air Force,TX A&M Commerce,-4
351,Akron,Morgan St,6
352,South Alabama,Alabama,-10
353,SF Austin,Alcorn St,-9
354,Louisville,Appalachian St,-1
355,Auburn,Winthrop,24
356,Bradley,E Michigan,28
357,Clemson,SC Upstate,11
358,Syracuse,Colgate,-12
359,Connecticut,Buffalo,20
360,Fordham,New Hampshire,18
361,Georgia St,Mercer,2
362,Howard,James Madison,-26
363,La Salle,Queens NC,12
364,Maryland,Binghamton,24
365,Miami FL,Florida A&M,26
366,Mississippi,Chattanooga,12
367,Missouri,SIUE,25
368,MTSU,Rice,35
369,NC State,Florida Intl,33
370,SMU,New Mexico,-21
371,North Carolina,Gardner Webb,6
372,Georgetown,Northwestern,-12
373,Oklahoma,UNC Wilmington,21
374,TX Southern,Oral Roberts,-18
375,Oregon,Montana St,30
376,North Dakota,Pacific,-30
377,Drexel,Penn,-5
378,Prairie View,Washington St,11
379,Providence,Stonehill,24
380,Purdue,Marquette,5
381,Quinnipiac,Dartmouth,9
382,Rhode Island,Stony Brook,10
383,Stanford,San Diego St,-12
384,San Jose St,Alabama St,13
385,St John's,Central Conn,17
386,St Louis,Memphis,6
387,St Peter's,Bucknell,11
388,UC Irvine,Loy Marymount,15
389,UNLV,Dayton,8
390,USC,Vermont,2
391,Temple,Vanderbilt,-2
392,Wake Forest,Utah Valley,3
393,West Virginia,Morehead St,18
394,Wisconsin,WI Green Bay,11
395,Wright St,Bowling Green,9
396,Xavier,Fairfield,13
397,Cal Baptist,CS Northridge,7
398,UC San Diego,California,2
399,American Univ,William & Mary,7
400,Arkansas,S Dakota St,15
401,Siena,Army,-2
402,NE Omaha,Ball St,-10
403,BYU,Missouri St,2
404,Chicago St,Valparaiso,13
405,Canisius,Cleveland St,-1
406,Columbia,Delaware St,5
407,Idaho,CS Bakersfield,-9
408,Detroit,Ohio,14
409,East Carolina,Hampton,9
410,Northeastern,Harvard,-1
411,Houston,TX Southern,35
412,Seton Hall,Iowa,-16
413,Kent,Ark Pine Bluff,26
414,Lehigh,Marist,10
415,MA Lowell,Sacred Heart,9
416,N Kentucky,Cincinnati,13
417,Notre Dame,Southern Indiana,12
418,Ohio St,E Illinois,22
419,Fresno St,San Francisco,-7
420,Evansville,SE Missouri St,-6
421,St Mary's CA,Southern Univ,18
422,Tennessee,FL Gulf Coast,31
423,Texas,Gonzaga,19
424,Toledo,Oakland,22
425,Tulane,Charleston So,20
426,UAB,Presbyterian,31
427,Arizona,Utah Tech,27
428,South Florida,Austin Peay,-2
429,Boston Univ,Hartford,36
430,Brown,Stony Brook,11
431,Butler,St Francis PA,28
432,Col Charleston,Davidson,23
433,Tennessee Tech,Coppin St,-5
434,Creighton,UC Riverside,29
435,ETSU,Ark Little Rock,8
436,FL Atlantic,Bryant,11
437,Georgia Tech,N Illinois,18
438,San Jose St,Hofstra,-9
439,Indiana St,N Dakota St,26
440,Kansas St,Missouri KC,16
441,Kentucky,S Carolina St,43
442,LSU,New Orleans,29
443,Marquette,LIU Brooklyn,37
444,Miami OH,Marshall,-26
445,Minnesota,C Michigan,8
446,Mississippi St,South Dakota,37
447,Montana,St Thomas MN,19
448,Monmouth NJ,Norfolk St,-5
449,Elon,North Dakota,-4
450,Illinois St,Northwestern LA,-3
451,Air Force,Portland,-13
452,S Illinois,Tennessee St,13
453,Utah,Sam Houston St,-10
454,Alabama A&M,Samford,-20
455,St John's,Nebraska,20
456,St Joseph's PA,SUNY Albany,20
457,TAM C. Christi,UTRGV,22
458,TCU,ULM,35
459,UNC Greensboro,Towson,-3
460,Louisiana,Louisiana Tech,6
461,UT San Antonio,Texas St,5
462,San Diego,Utah St,-2
463,Richmond,Wichita St,-3
464,Washington,Cal Baptist,-9
465,Alabama,Jacksonville St,42
466,Auburn,TX Southern,16
467,Appalachian St,Campbell,-5
468,Clemson,Bellarmine,10
469,Cleveland St,Ark Pine Bluff,9
470,Col Charleston,Colorado St,10
471,Connecticut,UNC Wilmington,36
472,Pacific,CS Fullerton,-3
473,Idaho St,Denver,-1
474,Duke,Delaware,34
475,Georgia St,E Kentucky,-1
476,Florida St,Florida,-9
477,G Washington,MD E Shore,5
478,Georgia,Bucknell,4
479,Grand Canyon,Grambling,33
480,Xavier,Indiana,-2
481,Kansas,Southern Utah,6
482,Longwood,VMI,32
483,Maine,Columbia,23
484,Michigan St,Villanova,2
485,Mississippi,TN Martin,4
486,Montana,Merrimack,11
487,MS Valley St,North Alabama,8
488,Navy,UC San Diego,9
489,UT Arlington,Nevada,-19
490,Northern Arizona,UC Santa Barbara,9
491,Northwestern,PFW,8
492,Notre Dame,Lipscomb,1
493,Oklahoma,South Alabama,4
494,Rice,Ga Southern,17
495,SC Upstate,Coastal Car,1
496,Liberty,Southern Miss,-4
497,California,Southern Univ,-8
498,Stanford,Cal Poly,37
499,UC Davis,Arkansas St,15
500,UMBC,Lafayette,8
501,UNLV,High Point,10
502,USC,Mt St Mary's,9
503,Vanderbilt,Morehead St,33
504,McNeese St,W Carolina,-19
505,Houston Chr,W Michigan,-6
506,Wagner,Fairfield,16
507,West Virginia,Penn,34
508,Wofford,Gardner Webb,2
509,NJIT,American Univ,-5
510,Bradley,SE Missouri St,13
511,Florida Intl,Bryant,-6
512,Butler,Citadel,47
513,BYU,Nicholls St,14
514,Dayton,Robert Morris,9
515,FL Atlantic,Detroit,21
516,Fordham,IL Chicago,14
517,Houston Chr,Ga Southern,-7
518,Georgia St,TX A&M Commerce,4
519,Appalachian St,Kennesaw,-4
520,Kent,Chicago St,29
521,Longwood,F Dickinson,16
522,Marshall,Coppin St,19
523,Mercer,Winthrop,9
524,Missouri St,MTSU,24
525,NC State,Elon,11
526,North Florida,S Carolina St,6
527,North Texas,Fresno St,9
528,Oakland,E Michigan,2
529,Pepperdine,UC Irvine,9
530,Oregon St,Portland St,-13
531,Marist,Princeton,-7
532,Rice,W Michigan,8
533,Binghamton,Sacred Heart,-15
534,N Colorado,San Jose St,-11
535,Portland,Seattle,-12
536,S Dakota St,SF Austin,-11
537,SMU,Evansville,8
538,St Bonaventure,Bowling Green,13
539,St Francis NY,St Peter's,3
540,St Mary's CA,Hofstra,28
541,Syracuse,Northeastern,28
542,Montana,Troy,-11
543,Valparaiso,Incarnate Word,4
544,William & Mary,Army,9
545,Idaho,Utah Tech,-10
546,McNeese St,Lindenwood,-18
547,Appalachian St,SE Louisiana,9
548,Ark Little Rock,Jackson St,3
549,New Hampshire,Boston Univ,-7
550,Col Charleston,Virginia Tech,2
551,Connecticut,Delaware St,35
552,Longwood,SIUE,-5
553,Georgia St,UNC Asheville,6
554,Gonzaga,Kentucky,16
555,Harvard,Siena,10
556,Oregon,Houston,-10
557,Iowa St,WI Milwaukee,15
558,McNeese St,Lamar,9
559,Memphis,VCU,15
560,Michigan,Ohio,4
561,Missouri,MS Valley St,21
562,North Dakota,Montana St,-10
563,Cal Poly,Mt St Mary's,-5
564,Navy,Youngstown St,13
565,Nebraska,Ark Pine Bluff,24
566,North Carolina,James Madison,16
567,Pittsburgh,Alabama St,19
568,Samford,TX Southern,15
569,Seton Hall,Wagner,38
570,Tennessee Tech,ETSU,7
571,TN Martin,Prairie View,1
572,UMBC,Central Conn,2
573,Wofford,NC A&T,14
574,Air Force,SC Upstate,27
575,Charleston So,Bethune-Cookman,15
576,Clemson,Loyola MD,31
577,Colgate,Monmouth NJ,19
578,Duke,Bellarmine,17
579,Duquesne,North Florida,1
580,Florida St,Mercer,9
581,Fordham,Holy Cross,14
582,Iowa,NE Omaha,36
583,St Francis PA,Lehigh,-6
584,Louisiana Tech,ULM,21
585,Marshall,Chicago St,12
586,Rice,Houston Chr,9
587,UC Santa Barbara,Hampton,13
588,California,Texas St,-4
589,UTRGV,W Illinois,1
590,Arizona St,Grambling,31
591,Arkansas St,TN Martin,6
592,Cornell,Canisius,9
593,Fordham,Stonehill,11
594,Jacksonville St,Elon,25
595,MD E Shore,Marist,11
596,Pacific,Mt St Mary's,-4
597,Sacred Heart,NJIT,-10
598,Notre Dame,Bowling Green,16
599,Lafayette,Penn,-6
600,Pittsburgh,F Dickinson,22
601,Rutgers,Rider,30
602,St Bonaventure,Southern Indiana,14
603,Towson,Coppin St,16
604,UTRGV,Northern Arizona,12
605,SMU,Louisiana,-4
606,UNC Greensboro,UMBC,4
607,UT San Antonio,Prairie View,7
608,Utah St,Oral Roberts,10
609,UTEP,Alcorn St,12
610,Yale,Vermont,29
611,G Washington,UC San Diego,-5
612,Air Force,MS Valley St,13
613,Georgetown,American Univ,-4
614,ETSU,Appalachian St,-4
615,Baylor,McNeese St,29
616,Binghamton,Columbia,2
617,Cal Poly,Idaho,11
618,New Orleans,Citadel,-7
619,Cleveland St,Chicago St,14
620,Col Charleston,Kent,2
621,Detroit,Charlotte,21
622,Duquesne,Alabama St,18
623,Florida Intl,Stony Brook,33
624,Indiana,Ark Little Rock,19
625,Campbell,Jacksonville,-21
626,Kentucky,North Florida,40
627,Chattanooga,Lipscomb,-6
628,Alabama A&M,Louisiana Tech,-5
629,Loy Marymount,Morgan St,1
630,Brown,MA Lowell,-11
631,Central Conn,Maine,-8
632,Miami FL,St Francis NY,23
633,Michigan,Jackson St,10
634,Missouri,Coastal Car,38
635,Providence,Merrimack,14
636,Samford,Valparaiso,30
637,UC Santa Barbara,North Alabama,18
638,UCF,Evansville,20
639,UCLA,Pepperdine,47
640,UTEP,CS Bakersfield,1
641,Wake Forest,S Carolina St,31
642,William & Mary,Radford,11
643,WI Milwaukee,St Thomas MN,-4
644,Lindenwood,Idaho St,1
645,New Orleans,IUPUI,3
646,Monmouth NJ,Cornell,-18
647,Davidson,San Francisco,9
648,New Orleans,Denver,-1
649,UT San Antonio,Grambling,-20
650,Harvard,Loyola-Chicago,6
651,Pacific,Idaho,-3
652,Illinois,Lindenwood,33
653,Indiana,Jackson St,39
654,Samford,Louisiana Tech,-3
655,Loy Marymount,Bellarmine,21
656,Maryland,Coppin St,16
657,New Mexico,Jacksonville St,18
658,North Dakota,Utah Tech,15
659,Ohio,E Illinois,11
660,Oklahoma St,Tulsa,26
661,Penn,Hartford,20
662,Penn St,Lafayette,13
663,Pittsburgh,William & Mary,16
664,Arkansas St,Prairie View,-8
665,South Carolina,SC Upstate,15
666,South Florida,St Francis NY,15
667,DePaul,Texas A&M,-16
668,UTEP,TAM C. Christi,5
669,Virginia,MD E Shore,27
670,Virginia Tech,Charleston So,5
671,Washington St,Detroit,42
672,St Francis PA,American Univ,-11
673,Boise St,Utah Valley,18
674,Bradley,Merrimack,42
675,Syracuse,Bryant,-1
676,Charlotte,Presbyterian,27
677,Chattanooga,Murray St,3
678,W Michigan,Cleveland St,-22
679,Coastal Car,South Dakota,7
680,Colorado St,MS Valley St,43
681,Drake,Louisiana,12
682,Missouri KC,SIUE,-10
683,SUNY Albany,FL Atlantic,-17
684,G Washington,New Hampshire,21
685,George Mason,Queens NC,7
686,Georgetown,UMBC,9
687,Georgia Tech,North Alabama,19
688,Houston,Kent,5
689,Austin Peay,Howard,-1
690,WI Green Bay,IL Chicago,-14
691,La Salle,Binghamton,3
692,Liberty,Delaware St,27
693,Bucknell,Marist,-6
694,Marquette,Chicago St,14
695,Marshall,Morehead St,24
696,Miami OH,Ark Little Rock,13
697,Missouri,Houston Chr,36
698,Navy,Mt St Mary's,16
699,NC Central,Gardner Webb,5
700,New Mexico,N Dakota St,21
701,Northern Iowa,N Illinois,7
702,Cent Arkansas,Northwestern LA,-8
703,Old Dominion,East Carolina,21
704,Penn,Colgate,12
705,Providence,Columbia,14
706,Rutgers,Central Conn,34
707,St John's,Niagara,8
708,Texas,UTRGV,37
709,UNC Asheville,W Carolina,12
710,Utah,St Thomas MN,29
711,VCU,Kennesaw,3
712,WKU,S Carolina St,26
713,Wake Forest,Hampton,27
714,WI Milwaukee,UC Davis,2
715,Wichita St,Tarleton St,12
716,W Illinois,Youngstown St,-24
717,Cal Baptist,C Michigan,16
718,Bowling Green,Southern Indiana,-12
719,Northern Arizona,Abilene Chr,-10
720,Air Force,Montana,3
721,Arizona St,Alcorn St,22
722,Auburn,St Louis,5
723,Georgia St,Belmont,-2
724,Boston College,Rhode Island,4
725,Brown,Maine,7
726,Buffalo,Canisius,20
727,Campbell,Stetson,2
728,Cent Arkansas,Idaho St,4
729,Colorado,Yale,3
730,UT San Antonio,Dartmouth,-1
731,Florida Intl,E Washington,11
732,Fordham,Harvard,8
733,Georgia,ETSU,15
734,Lehigh,Monmouth NJ,4
735,LSU,Wofford,3
736,MA Lowell,Stonehill,14
737,UCF,Miami FL,-2
738,Portland,Michigan St,-1
739,N Kentucky,Tennessee Tech,8
740,New Mexico,N Colorado,24
741,North Dakota,CS Fullerton,16
742,Ohio,Alabama St,14
743,Oklahoma St,Prairie View,25
744,Penn,Delaware,13
745,Elon,Radford,-16
746,SMU,Lamar,25
747,St Peter's,F Dickinson,14
748,Temple,Drexel,12
749,UCLA,Bellarmine,21
750,NJIT,Wagner,-5
751,WI Milwaukee,Boston Univ,21
752,E Michigan,UC San Diego,-3
753,Arkansas,Troy,13
754,Pacific,Cal Poly,-4
755,Kansas,TX Southern,32
756,Marist,Columbia,13
757,Mississippi St,NE Omaha,20
758,Nevada,Sam Houston St,18
759,Northwestern,Pittsburgh,-29
760,San Diego,Longwood,3
761,TN Martin,McNeese St,3
762,Tulane,ULM,15
763,UT San Antonio,Incarnate Word,6
764,Virginia Tech,Minnesota,10
765,Washington,Seattle,11
766,WI Milwaukee,SE Missouri St,16
767,American Univ,SUNY Albany,26
768,Boise St,CS Northridge,9
769,Central Conn,Brown,-8
770,Davidson,Charlotte,-2
771,Clemson,Penn St,7
772,Col Charleston,Old Dominion,15
773,Duquesne,UC Santa Barbara,11
774,Appalachian St,Furman,-4
775,Grand Canyon,Alcorn St,8
776,Houston,Norfolk St,48
777,Missouri KC,Idaho St,-10
778,Illinois,Syracuse,29
779,Iowa,Georgia Tech,16
780,Kentucky,Bellarmine,19
781,Marquette,Baylor,26
782,Louisville,Maryland,-25
783,South Florida,Massachusetts,-6
784,Miami OH,Jackson St,17
785,Wichita St,Missouri,-4
786,NC Central,UNC Asheville,13
787,NC State,William & Mary,21
788,Presbyterian,VMI,15
789,East Carolina,S Carolina St,-5
790,San Diego St,UC Irvine,3
791,Southern Miss,Montana,10
792,St John's,LIU Brooklyn,27
793,Michigan,Virginia,-2
794,Wisconsin,Wake Forest,-3
795,Tarleton St,Weber St,10
796,Bowling Green,Queens NC,-6
797,Air Force,Ark Pine Bluff,28
798,Bradley,Northern Iowa,15
799,Bucknell,St Francis PA,24
800,Butler,Kansas St,12
801,Tennessee Tech,Chattanooga,-7
802,Cincinnati,NJIT,26
803,Charleston So,Citadel,-3
804,Colorado St,Loy Marymount,16
805,Dayton,W Michigan,20
806,DePaul,Samford,5
807,Drexel,Lafayette,8
808,Duke,Ohio St,9
809,Florida Intl,E Michigan,-12
810,FL Atlantic,South Alabama,25
811,Ga Southern,FL Gulf Coast,-17
812,Florida,Florida A&M,40
813,Fordham,Maine,5
814,G Washington,South Carolina,24
815,W Carolina,Gardner Webb,-16
816,George Mason,Hofstra,4
817,Georgia,Hampton,19
818,Hartford,F Dickinson,8
819,Holy Cross,Harvard,-34
820,High Point,Elon,14
821,Indiana,North Carolina,12
822,Indiana St,Drake,2
823,Iowa St,North Dakota,19
824,Lipscomb,Navy,5
825,Binghamton,Loyola MD,-14
826,Loyola-Chicago,Cent Arkansas,15
827,MA Lowell,Merrimack,26
828,Marshall,Akron,11
829,MD E Shore,Lehigh,4
830,Memphis,North Alabama,19
831,Miami FL,Rutgers,7
832,IL Chicago,Missouri St,-15
833,Southern Utah,Montana St,-3
834,E Illinois,N Illinois,-20
835,NC A&T,UNC Greensboro,17
836,Nebraska,Boston College,21
837,St Mary's CA,New Mexico,-4
838,New Mexico St,UTEP,25
839,Notre Dame,Michigan St,18
840,Florida St,Purdue,-10
841,Rice,Prairie View,8
842,Rider,Monmouth NJ,26
843,Evansville,S Illinois,-27
844,New Hampshire,Sacred Heart,-5
845,San Francisco,Ark Little Rock,22
846,Seattle,CS Fullerton,7
847,St Bonaventure,MTSU,7
848,St Francis NY,Delaware St,8
849,Penn,St Joseph's PA,-5
850,St Louis,Tennessee St,17
851,TCU,Providence,13
852,Tennessee,McNeese St,36
853,Texas A&M,SMU,19
854,Texas Tech,Georgetown,14
855,Toledo,Richmond,23
856,UTRGV,TAM C. Christi,7
857,UAB,Jacksonville,19
858,UMBC,Coppin St,27
